"age","workclass","education_num","marital_status","occupation","race","sex","hour_per_week","income"
39,"Government",13,"Single","OfficeLabour","White","Male",40,"<=50K"
50,"SelfEmployed",13,"Married","OfficeLabour","White","Male",13,"<=50K"
38,"Private",9,"Divorced","ManualLabour","White","Male",40,"<=50K"
53,"Private",7,"Married","ManualLabour","Black","Male",40,"<=50K"
28,"Private",13,"Married","Professional","Black","Female",40,"<=50K"
37,"Private",14,"Married","OfficeLabour","White","Female",40,"<=50K"
49,"Private",5,"Married","Service","Black","Female",16,"<=50K"
52,"SelfEmployed",9,"Married","OfficeLabour","White","Male",45,">50K"
31,"Private",14,"Single","Professional","White","Female",50,">50K"
42,"Private",13,"Married","OfficeLabour","White","Male",40,">50K"
37,"Private",10,"Married","OfficeLabour","Black","Male",80,">50K"
30,"Government",13,"Married","Professional","Asian-Pac-Islander","Male",40,">50K"
23,"Private",13,"Single","OfficeLabour","White","Female",30,"<=50K"
32,"Private",12,"Single","Sales","Black","Male",50,"<=50K"
34,"Private",4,"Married","ManualLabour","Amer-Indian-Eskimo","Male",45,"<=50K"
25,"SelfEmployed",9,"Single","ManualLabour","White","Male",35,"<=50K"
32,"Private",9,"Single","ManualLabour","White","Male",40,"<=50K"
38,"Private",7,"Married","Sales","White","Male",50,"<=50K"
43,"SelfEmployed",14,"Divorced","OfficeLabour","White","Female",45,">50K"
40,"Private",16,"Married","Professional","White","Male",60,">50K"
54,"Private",9,"Separated","Service","Black","Female",20,"<=50K"
35,"Government",5,"Married","ManualLabour","Black","Male",40,"<=50K"
43,"Private",7,"Married","ManualLabour","White","Male",40,"<=50K"
59,"Private",9,"Divorced","Service","White","Female",40,"<=50K"
56,"Government",13,"Married","Service","White","Male",40,">50K"
19,"Private",9,"Single","ManualLabour","White","Male",40,"<=50K"
39,"Private",9,"Divorced","OfficeLabour","White","Male",80,"<=50K"
49,"Private",9,"Married","ManualLabour","White","Male",40,"<=50K"
23,"Government",12,"Single","Service","White","Male",52,"<=50K"
20,"Private",10,"Single","Sales","Black","Male",44,"<=50K"
45,"Private",13,"Divorced","OfficeLabour","White","Male",40,"<=50K"
30,"Government",10,"Married","OfficeLabour","White","Male",40,"<=50K"
22,"Government",10,"Married","Service","Black","Male",15,"<=50K"
48,"Private",7,"Single","ManualLabour","White","Male",40,"<=50K"
21,"Private",10,"Single","ManualLabour","White","Male",40,"<=50K"
19,"Private",9,"Married","OfficeLabour","White","Female",25,"<=50K"
48,"SelfEmployed",12,"Married","Professional","White","Male",40,"<=50K"
31,"Private",5,"Married","ManualLabour","White","Male",43,"<=50K"
53,"SelfEmployed",13,"Married","Professional","White","Male",40,"<=50K"
24,"Private",13,"Married","Service","White","Male",50,"<=50K"
49,"Private",9,"Separated","OfficeLabour","White","Female",40,"<=50K"
25,"Private",9,"Single","ManualLabour","White","Male",35,"<=50K"
57,"Government",13,"Married","Professional","Black","Male",40,">50K"
53,"Private",9,"Married","ManualLabour","White","Male",38,"<=50K"
44,"Private",14,"Divorced","OfficeLabour","White","Female",40,"<=50K"
41,"Government",11,"Married","ManualLabour","White","Male",40,"<=50K"
29,"Private",11,"Single","Professional","White","Male",43,"<=50K"
25,"Private",10,"Married","OfficeLabour","Other","Female",40,"<=50K"
47,"Private",15,"Married","Professional","White","Female",60,">50K"
50,"Government",13,"Divorced","OfficeLabour","White","Male",55,">50K"
47,"SelfEmployed",9,"Divorced","OfficeLabour","White","Male",60,"<=50K"
43,"Private",10,"Married","Service","White","Male",40,">50K"
46,"Private",3,"Married","ManualLabour","White","Male",40,"<=50K"
35,"Private",11,"Married","Service","White","Male",40,"<=50K"
41,"Private",9,"Married","OfficeLabour","White","Male",48,"<=50K"
30,"Private",9,"Married","ManualLabour","White","Male",40,"<=50K"
30,"Private",13,"Married","Sales","White","Male",40,"<=50K"
48,"Private",9,"Married","ManualLabour","White","Male",40,"<=50K"
42,"Private",16,"Married","Professional","White","Male",45,">50K"
29,"Private",10,"Divorced","Service","White","Male",58,"<=50K"
36,"Private",9,"Married","ManualLabour","White","Male",40,"<=50K"
28,"Private",10,"Divorced","OfficeLabour","White","Female",40,"<=50K"
53,"Private",9,"Married","OfficeLabour","White","Female",40,">50K"
49,"SelfEmployed",10,"Married","OfficeLabour","White","Male",50,">50K"
19,"Private",10,"Single","Professional","White","Male",32,"<=50K"
31,"Private",13,"Separated","Sales","Black","Female",40,"<=50K"
29,"SelfEmployed",13,"Married","Sales","White","Male",70,">50K"
23,"Private",10,"Single","ManualLabour","White","Male",40,"<=50K"
79,"Private",10,"Married","Professional","White","Male",20,"<=50K"
27,"Private",9,"Single","Service","White","Male",40,"<=50K"
40,"Private",12,"Married","OfficeLabour","White","Male",40,"<=50K"
18,"Private",7,"Single","Service","White","Female",22,"<=50K"
31,"Government",4,"Married","ManualLabour","White","Male",40,"<=50K"
18,"Private",9,"Single","Sales","White","Male",30,"<=50K"
52,"Private",13,"Married","Service","White","Male",40,"<=50K"
46,"Private",9,"Married","Service","White","Female",40,"<=50K"
59,"Private",9,"Married","Sales","White","Male",48,"<=50K"
44,"Private",9,"Divorced","ManualLabour","White","Female",40,">50K"
53,"Private",9,"Divorced","Sales","White","Female",35,"<=50K"
49,"Government",9,"Married","Service","White","Male",40,">50K"
33,"Private",14,"Married","Professional","White","Male",50,"<=50K"
30,"Private",5,"Single","Sales","White","Male",40,"<=50K"
43,"Government",16,"Single","Professional","White","Female",50,">50K"
57,"Private",11,"Married","Professional","White","Male",40,"<=50K"
37,"Private",10,"Divorced","ManualLabour","White","Female",40,"<=50K"
28,"Private",10,"Divorced","ManualLabour","Black","Female",25,"<=50K"
34,"Government",13,"Married","Service","White","Male",40,">50K"
29,"Government",10,"Single","ManualLabour","White","Male",50,"<=50K"
48,"SelfEmployed",16,"Married","Professional","White","Male",60,">50K"
37,"Private",10,"Married","Sales","White","Male",48,">50K"
48,"Private",12,"Divorced","OfficeLabour","White","Female",40,"<=50K"
32,"Government",9,"Single","Service","Black","Male",40,"<=50K"
76,"Private",14,"Married","OfficeLabour","White","Male",40,">50K"
44,"Private",13,"Married","OfficeLabour","White","Male",60,">50K"
47,"SelfEmployed",14,"Single","Professional","White","Female",50,"<=50K"
20,"Private",10,"Single","Service","White","Female",40,"<=50K"
29,"Private",9,"Single","ManualLabour","White","Male",40,"<=50K"
32,"SelfEmployed",9,"Married","ManualLabour","White","Male",40,">50K"
30,"Private",7,"Single","ManualLabour","White","Male",40,"<=50K"
31,"Government",9,"Single","OfficeLabour","White","Female",40,"<=50K"
42,"Private",9,"Married","ManualLabour","White","Male",40,"<=50K"
24,"Private",13,"Single","Sales","White","Male",40,"<=50K"
38,"Private",15,"Married","Professional","White","Male",40,">50K"
56,"SelfEmployed",9,"Married","Service","White","Male",50,">50K"
28,"Private",10,"Married","Sales","White","Female",25,"<=50K"
36,"Private",9,"Single","ManualLabour","White","Female",40,"<=50K"
53,"Private",5,"Married","ManualLabour","White","Male",50,"<=50K"
56,"SelfEmployed",10,"Married","Sales","White","Male",50,"<=50K"
49,"Government",11,"Married","ManualLabour","Black","Male",40,">50K"
55,"Private",10,"Married","Sales","White","Male",56,"<=50K"
22,"Private",9,"Single","ManualLabour","White","Male",41,"<=50K"
21,"Private",10,"Single","Service","White","Female",40,"<=50K"
40,"Private",13,"Married","OfficeLabour","White","Male",60,"<=50K"
30,"Private",13,"Single","OfficeLabour","Black","Male",40,"<=50K"
29,"Government",13,"Married","Professional","White","Male",50,">50K"
19,"Private",10,"Single","Service","Black","Male",35,"<=50K"
47,"Private",13,"Married","OfficeLabour","White","Female",40,">50K"
20,"Private",10,"Single","OfficeLabour","White","Female",28,"<=50K"
31,"Private",12,"Married","OfficeLabour","White","Male",40,">50K"
39,"Private",10,"Divorced","ManualLabour","White","Male",40,"<=50K"
28,"Private",12,"Single","Sales","White","Female",60,"<=50K"
24,"Private",9,"Single","Service","White","Female",40,"<=50K"
38,"SelfEmployed",9,"Married","ManualLabour","White","Male",35,"<=50K"
37,"Private",13,"Married","Sales","White","Male",50,"<=50K"
46,"Private",12,"Divorced","Service","Black","Female",36,"<=50K"
38,"Government",14,"Married","Professional","White","Male",40,">50K"
43,"SelfEmployed",9,"Married","ManualLabour","White","Male",60,"<=50K"
27,"Private",11,"Married","OfficeLabour","White","Female",35,"<=50K"
20,"Private",10,"Single","Sales","White","Male",20,"<=50K"
49,"Private",10,"Married","ManualLabour","Asian-Pac-Islander","Male",40,">50K"
61,"SelfEmployed",9,"Married","ManualLabour","White","Male",40,"<=50K"
27,"Private",10,"Single","Sales","White","Female",40,"<=50K"
19,"Private",10,"Single","Service","White","Male",30,"<=50K"
45,"Private",11,"Single","Professional","White","Female",40,">50K"
70,"Private",10,"Single","Service","White","Male",40,"<=50K"
31,"Private",9,"Single","ManualLabour","Black","Female",30,"<=50K"
22,"Private",10,"Married","Service","White","Male",24,"<=50K"
36,"Private",9,"Widowed","Service","White","Female",24,"<=50K"
64,"Private",7,"Married","ManualLabour","White","Male",40,"<=50K"
47,"Government",10,"Divorced","OfficeLabour","White","Female",38,"<=50K"
34,"Private",9,"Single","OfficeLabour","White","Female",40,"<=50K"
33,"Private",13,"Single","OfficeLabour","Asian-Pac-Islander","Female",40,"<=50K"
21,"Private",9,"Single","ManualLabour","White","Male",35,"<=50K"
48,"Private",9,"Married","ManualLabour","White","Male",46,"<=50K"
23,"Private",13,"Single","ManualLabour","White","Male",40,"<=50K"
71,"SelfEmployed",10,"Separated","Sales","Black","Male",2,"<=50K"
29,"Private",9,"Divorced","ManualLabour","White","Male",60,"<=50K"
42,"Private",13,"Separated","Service","Black","Male",50,"<=50K"
25,"Private",9,"Single","Service","White","Female",40,"<=50K"
44,"SelfEmployed",14,"Divorced","OfficeLabour","Asian-Pac-Islander","Female",40,"<=50K"
28,"Private",9,"Single","OfficeLabour","Asian-Pac-Islander","Female",40,"<=50K"
45,"SelfEmployed",14,"Married","Sales","White","Male",40,">50K"
36,"Private",10,"Divorced","Service","White","Female",40,"<=50K"
39,"Government",12,"Single","OfficeLabour","White","Male",42,"<=50K"
46,"Government",14,"Widowed","Service","White","Male",40,"<=50K"
18,"Private",7,"Single","ManualLabour","White","Male",16,"<=50K"
66,"Government",11,"Widowed","Professional","White","Female",20,"<=50K"
27,"Private",9,"Single","Service","White","Male",40,"<=50K"
28,"Government",9,"Married","Service","White","Male",40,"<=50K"
51,"Private",10,"Married","Sales","White","Male",40,">50K"
27,"Private",13,"Single","ManualLabour","White","Male",50,"<=50K"
28,"Government",13,"Married","Professional","White","Male",40,">50K"
27,"Private",9,"Married","Sales","White","Female",25,"<=50K"
21,"Private",9,"Single","ManualLabour","Black","Male",40,"<=50K"
34,"Private",9,"Single","ManualLabour","Black","Male",40,"<=50K"
18,"Private",9,"Single","Service","White","Male",12,"<=50K"
33,"Private",13,"Married","Professional","White","Male",65,"<=50K"
44,"Government",10,"Married","OfficeLabour","Black","Male",38,">50K"
43,"Private",10,"Divorced","OfficeLabour","White","Female",40,"<=50K"
30,"Private",10,"Single","ManualLabour","Black","Male",45,"<=50K"
40,"Private",4,"Married","ManualLabour","White","Male",40,">50K"
37,"Government",10,"Married","OfficeLabour","White","Male",42,">50K"
34,"Private",9,"Married","OfficeLabour","Black","Male",40,"<=50K"
41,"SelfEmployed",13,"Divorced","OfficeLabour","White","Female",40,"<=50K"
31,"Private",14,"Married","Professional","White","Female",50,"<=50K"
58,"Government",16,"Married","Professional","White","Male",1,">50K"
38,"Private",10,"Divorced","ManualLabour","Black","Female",28,"<=50K"
24,"Private",10,"Married","ManualLabour","White","Male",40,"<=50K"
41,"Government",13,"Married","ManualLabour","Black","Male",40,"<=50K"
47,"Private",10,"Married","Service","White","Male",45,"<=50K"
41,"Government",13,"Married","Service","White","Male",24,"<=50K"
